Завершил,Начал,Носитель,Формат,Тематика,Название,Автор,Оригинал,Оценка,Длина,Год,Рецензия,Ссылка,Язык,Теги
30.08.2013,26.08.2013,Цифр. книга,Книга,Бег,Бегай быстро и без травм ,Пири Гордон ,,4,182 стр.,1996,"Хоть книга и старая, но актуальности своей не лишилась. К советам этого бегуна стоит прислуживаться, ведь у него внушительный опыт и серьёзные награды.",,Русский,"Спорт, Бег, Здоровье, Автобиография, Безопасность"
26.08.2013,25.08.2013,Цифр. книга,Книга,Веб-разработка,Введение в SQL,Мартин Грабер,,5,382 стр.,1992,"Коротко, понятно, много примеров, затронуто всё самое важное.",,Русский,"Программирование, SQL, БД"
16.08.2013,11.06.2013,Цифр. книга,Книга,Бизнес,Атлант расправил плечи,Айн Рэнд,Atlas Shrugged,4,1364 стр.,2011,"Первый том прочёл на одном дыхании, остальные более затянуты и скучны. Если бы убрать из книги романтический текст и сократить весь остальной так, что бы вышел лишь 1-н том, поставил бы 5.

Книга учит жить с установкой - что человек никому ничего не должен, что нужно усердно работать, любить своё дело, несмотря ни на что добиваться поставленных целей и ждать всего что угодно от не знакомых людей и правительства.",,Русский,"Философия, Антиутопия, Бизнес, Капитализм, Роман, Предпринимательство, Мотивация, Общество"
29.07.2013,17.03.2013,Цифр. книга,Книга,Веб-разработка,JavaScript. Подробное руководство,Дэвид Флэнаган,JavaScript: The Definitive Guide,5,992 стр.,2008,"Хороший справочник и шпаргалка для среднего уровня джаваскриптеров. Очень много объяснений для начинающих, но начинать с этой книги я бы не советовал - не очень внятно написано.",,Русский,"Программирование, Веб-разработка, CSS, JQuery, AJAX, SOAP, JSON, JavaScript"
25.07.2013,19.07.2013,Цифр. книга,Книга,Письмо,50 Приемов Письма,Рой Питер Кларк,Writing Tools. 50 Essential Strategies for Every Writer,5,332 стр,2013,Приёмы письма с нормальным обьяснением и примерами.,,Русский,"Копирайтинг, Текст, Журналистика"
22.07.2013,21.07.2013,Цифр. книга,Книга,Море,Старик и море,Эрнест Хемингуэй,The Old Man and the Sea,5,256 стр,1952,"Короткая, впечатляющая и глубокая книжка. Что еще нужно? У автора можно учиться писать захватывающие расказы, которые вовлекают при чтении на все 100% и кажется что это не книгу читаю, а сам нахожусь в гуще событий.",,Русский,"Классика, Жизнь, Художественная литература, Море, Зарубежная литература"
15.07.2013,20.06.2012,Видео,Курс,Веб-разработка,AJAX. Разработка веб - приложений для Web 2.0,Специалист,,5,1440 мин.,2011,"Понятно и очень детально объясняют, подкрепляя важные темы практическими уроками. Много расказывается ньюансов и советов из личного опыта - этого в книгах не найти.",,Русский,"Программирование, AJAX, JavaScript, PHP, XML, SOAP, JSON"
15.07.2013,21.03.2012,Видео,Курс,Английский язык,Полиглот. Выучим английский за 16 часов,Дмитрий Петров,,5,704 мин.,2012,"Очень полезное для тех, у кого не сформировано чёткое представление о языке, а есть лишь знания накопленные из книг и фильмов.
Для экономии времени смотреть нужно только объяснения преподавателя, а болтовню учеников пропускать.",,Русский,
14.07.2013,08.07.2013,Цифр. книга,Книга,Финансы,Самый богатый человек в Вавилоне,Джордж С. Клейсон,The Richest Man in Babylon,5,192 стр.,2007,"Для человека, который ценит своё время советую прочитать конспект - он очень короткий.
Вообще все эти истории поданы как правдивые, которые были написанны на древних дощечках из глины. Слабо в это верится.
Но всёравно в итоге получаем интересные истории + ценную информацию = стоит прочесть целиком (если есть время).
Научит тому, как сохранить и преумножить богатство и быть уверенным в своём будущем.",,Русский,"Саморазвитие, Богатство, Мудрость, Бизнес, Притчи"
08.07.2013,05.07.2013,Цифр. книга,Книга,Копирайтинг,Эффективное коммерческое предложение. Исчерпывающее руководство,Денис Каплунов,,5,272 стр.,2013,"Книга адресована предпринимателям\бизнесменам, что бы научить их составлять эффективные КП. 
80% информации чисто по азам копирайтинга, 10% по специфике КП, 10% о написании писем (Не электронных).
Основной плюс - нету воды.
",,Русский,"КП, Предпринимательство, Текст, Письмо, Директ-маркетинг, Маркетинг"
